Date,Open,High,Low,Close,Volume
2010-01-04,112.37,113.39,111.51,113.33,118944600.0
2010-01-05,113.26,113.68,112.85,113.63,111579900.0
2010-01-06,113.52,113.99,113.43,113.71,116074400.0
2010-01-07,113.5,114.33,113.18,114.19,131091100.0
2010-01-08,113.89,114.62,113.66,114.57,126402700.0
2010-01-11,115.08,115.13,114.235,114.73,106375700.0
2010-01-12,113.97,114.21,113.22,113.66,163333400.0
2010-01-13,113.95,114.94,113.37,114.62,161821900.0
2010-01-14,114.49,115.14,114.42,114.93,115783700.0
2010-01-15,114.73,114.84,113.2,113.64,212283100.0
2010-01-19,113.62,115.13,113.59,115.06,139172600.0
2010-01-20,114.28,114.45,112.98,113.89,216490100.0
2010-01-21,113.92,114.27,111.56,111.7,344859500.0
2010-01-22,111.2,111.7416,109.09,109.21,345942400.0
2010-01-25,110.21,110.41,109.41,109.77,186937400.0
2010-01-26,109.34,110.47,109.04,109.31,211168700.0
2010-01-27,109.17,110.08,108.33,109.83,271863600.0
2010-01-28,110.19,110.25,107.91,108.57,316104000.0
2010-01-29,109.04,109.8,107.22,107.39,310677600.0
2010-02-01,108.15,109.07,107.5008,109.06,187864900.0
2010-02-02,109.26,110.59,108.88,110.38,216327900.0
2010-02-03,109.88,110.4815,109.51,109.83,172730600.0
2010-02-04,108.98,109.03,106.42,106.44,356715600.0
2010-02-05,106.56,106.88,104.58,106.66,493585700.0
2010-02-08,106.74,107.33,105.8099,105.89,224166800.0
2010-02-09,107.13,108.15,106.27,107.22,337820400.0
2010-02-10,107.05,107.6,106.11,107.01,240511500.0
2010-02-11,106.87,108.25,106.25,108.13,223591600.0
2010-02-12,106.99,108.1012,106.51,108.04,304622000.0
2010-02-16,108.86,109.85,107.821,109.74,159317400.0
2010-02-17,110.27,110.41,109.74,110.26,168845100.0
2010-02-18,110.08,111.14,110.035,110.91,193708500.0
2010-02-19,110.62,111.57,110.36,111.14,222684800.0
2010-02-22,111.55,111.58,110.83,111.16,132346800.0
2010-02-23,110.86,111.2,109.52,109.81,207496900.0
2010-02-24,110.14,111.0,109.86,110.82,176350600.0
2010-02-25,109.24,110.75,108.94,110.67,259634700.0
2010-02-26,110.77,111.12,110.11,110.74,173589200.0
2010-03-01,111.2,112.0,111.17,111.89,147709600.0
2010-03-02,112.37,112.74,112.0,112.2,160992400.0
2010-03-03,112.49,112.97,112.02,112.3,150784900.0
2010-03-04,112.45,112.8,112.03,112.641,135770400.0
2010-03-05,113.37,114.34,113.1,114.25,176118700.0
2010-03-08,114.26,114.52,114.07,114.27,114631100.0
2010-03-09,113.93,114.99,113.87,114.46,154556700.0
2010-03-10,114.51,115.275,114.41,114.97,186088800.0
2010-03-11,114.7,115.48,114.35,115.45,160875900.0
2010-03-12,115.95,115.97,115.14,115.46,162074700.0
2010-03-15,115.26,115.575,114.6,115.49,146816800.0
2010-03-16,115.81,116.52,115.49,116.41,168673000.0
2010-03-17,116.76,117.48,116.4198,117.1,177468100.0
2010-03-18,117.11,117.27,116.57,117.0375,196509100.0
2010-03-19,116.96,117.293,115.52,115.97,226641100.0
2010-03-22,115.31,116.8,115.24,116.5925,184477700.0
2010-03-23,116.76,117.51,116.38,117.41,182941600.0
2010-03-24,116.97,117.4264,115.58,116.84,196183300.0
2010-03-25,117.63,118.1666,116.51,116.65,223396200.0
2010-03-26,116.87,117.42,116.12,116.582,205808500.0
2010-03-29,117.1699,117.53,116.6886,117.32,134513500.0
2010-03-30,117.46,117.83,116.91,117.4,145772400.0
2010-03-31,116.95,117.52,116.61,117.0,161078700.0
2010-04-01,117.8,118.25,117.1,117.8,161215200.0
2010-04-05,118.25,118.84,117.92,118.76,105847600.0
2010-04-06,118.42,119.25,118.29,119.04,110384100.0
2010-04-07,118.8,119.3567,117.81,118.36,184576300.0
2010-04-08,117.95,118.97,117.6,118.7725,158704000.0
2010-04-09,119.02,119.6,118.8,119.55,133006500.0
2010-04-12,119.7,120.05,119.56,119.74,110278900.0
2010-04-13,119.62,120.04,119.0,119.83,125125100.0
2010-04-14,120.27,121.19,120.08,121.19,161609000.0
2010-04-15,120.99,121.5654,120.95,121.29,144615200.0
2010-04-16,120.86,121.285,118.75,119.36,366879700.0
2010-04-19,119.01,119.93,118.47,119.81,217947700.0
2010-04-20,120.56,120.98,119.871,120.88,157707900.0
2010-04-21,120.95,121.23,119.99,120.66,192910100.0
2010-04-22,119.81,121.17,119.12,121.02,239188600.0
2010-04-23,120.94,121.86,120.63,121.8125,177335400.0
2010-04-26,121.85,122.12,121.23,121.35,143457200.0
2010-04-27,120.65,121.3346,118.25,118.48,355853700.0
2010-04-28,119.05,119.68,118.27,119.38,300677600.0
2010-04-29,120.1,121.11,120.07,120.8575,193774900.0
2010-04-30,120.88,121.01,118.78,118.8125,270000900.0
2010-05-03,119.38,120.68,119.2,120.35,182747800.0
2010-05-04,119.01,119.03,116.92,117.52,360353400.0
2010-05-05,116.56,117.8,115.97,116.82,328973200.0
2010-05-06,116.26,117.0,105.0,112.942,647356500.0
2010-05-07,112.64,113.77,109.41,111.26,637558700.0
2010-05-10,115.81,116.65,114.91,116.16,396159600.0
2010-05-11,115.07,117.36,114.91,115.83,317849700.0
2010-05-12,116.29,117.62,116.09,117.45,235607000.0
2010-05-13,117.13,117.68,115.89,115.99,234456100.0
2010-05-14,115.12,115.33,112.87,113.89,345602100.0
2010-05-17,114.2,114.52,111.77,113.95,325944000.0
2010-05-18,114.88,115.22,112.03,112.4,360595900.0
2010-05-19,111.77,112.77,110.36,111.76,394759500.0
2010-05-20,109.38,109.89,107.47,107.54,530423600.0
2010-05-21,105.91,109.38,105.3612,109.115,500909300.0
2010-05-24,108.52,109.39,107.61,107.71,269823000.0
2010-05-25,105.11,107.87,104.38,107.818,396505100.0
2010-05-26,108.48,109.47,106.85,107.17,349719200.0
2010-05-27,109.19,110.8,108.7801,110.76,300870500.0
2010-05-28,110.64,110.724,108.85,109.369,297933400.0
2010-06-01,108.35,109.95,107.37,107.53,277909400.0
2010-06-02,108.08,110.34,107.5091,110.33,240243600.0
2010-06-03,110.65,111.06,109.58,110.71,226618200.0
2010-06-04,108.61,109.33,106.465,106.82,398475600.0
2010-06-07,107.2,107.61,105.41,105.49,264609100.0
2010-06-08,105.57,106.83,104.65,106.62,357774300.0
2010-06-09,107.24,108.28,105.6,106.05,268023200.0
2010-06-10,107.86,109.28,106.0426,109.15,317890600.0
2010-06-11,108.19,109.75,108.12,109.68,214128100.0
2010-06-14,110.52,111.12,109.4,109.509,207196000.0
2010-06-15,110.28,112.1,110.09,112.0,238268600.0
2010-06-16,111.42,112.42,111.2,111.96,216373900.0
2010-06-17,112.28,112.33,111.05,112.14,263185700.0
2010-06-18,111.83,112.13,111.37,111.729,174006600.0
2010-06-21,113.12,113.2,110.79,111.41,213140600.0
2010-06-22,111.41,111.9,109.41,109.57,239355300.0
2010-06-23,109.64,110.03,108.48,109.23,254698700.0
2010-06-24,108.69,108.83,107.14,107.42,268692100.0
2010-06-25,107.74,108.42,106.77,107.8675,238726500.0
2010-06-28,108.03,108.32,107.14,107.53,169333200.0
2010-06-29,106.02,107.5114,103.55,104.21,373760400.0
2010-06-30,103.92,104.88,102.88,103.22,284101700.0
2010-07-01,103.15,103.49,101.13,102.76,382924700.0
2010-07-02,103.11,103.42,101.62,102.2,233385100.0
2010-07-06,103.64,104.37,101.88,102.87,256936400.0
2010-07-07,103.13,106.24,103.02,106.1075,253769700.0
2010-07-08,107.0,107.28,105.91,107.16,210842100.0
2010-07-09,107.13,107.97,106.93,107.96,144999900.0
